NOC,Team,Games,Year,GDP,Population,Sports,Events,Athletes per Event,Median Competitor Age,Median Competitor Height,Median Competitor Weight,Summer,Home_Field_Adv,Golds,Silvers,Bronzes,Total Medals
AFG,Afghanistan,2016 Summer,2016,17.994,29.2,2,3,1.0,24.0,175.0,68.0,1,0,0,0,0,0
ALB,Albania,2016 Summer,2016,11.862,2.876,3,6,1.0,24.5,175.0,67.0,1,0,0,0,0,0
ALG,Algeria,2016 Summer,2016,160.034,40.836,13,48,1.333,23.0,175.0,65.0,1,0,0,2,0,2
ANG,Angola,2016 Summer,2016,101.124,27.503,7,10,2.6,26.0,174.0,70.0,1,0,0,0,0,0
ANT,Antigua and Barbuda,2016 Summer,2016,1.437,0.092,2,5,1.4,21.0,176.5,68.0,1,0,0,0,0,0
ARG,Argentina,2016 Summer,2016,556.774,43.59,26,80,2.688,27.0,177.5,74.0,1,0,21,1,0,22
ARM,Armenia,2016 Summer,2016,10.546,2.993,8,32,0.969,25.0,170.0,66.0,1,0,1,3,0,4
ARU,Aruba,2016 Summer,2016,2.984,0.11,4,6,1.167,24.0,171.0,65.0,1,0,0,0,0,0
AUS,Australia,2016 Summer,2016,1266.27,24.39,31,193,2.15,25.0,179.0,70.0,1,0,23,34,25,82
AUT,Austria,2016 Summer,2016,395.728,8.74,23,61,1.164,26.0,177.0,69.0,1,0,0,0,2,2
AZE,Azerbaijan,2016 Summer,2016,37.83,9.706,15,62,0.903,25.0,173.0,66.0,1,0,1,7,10,18
BAN,Bangladesh,2016 Summer,2016,221.398,157.971,4,4,1.0,25.0,167.5,76.5,1,0,0,0,0,0
BAR,Barbados,2016 Summer,2016,4.83,0.285,5,11,1.0,23.0,180.0,77.0,1,0,0,0,0,0
BDI,Burundi,2016 Summer,2016,2.96,10.53,3,9,1.0,24.5,169.5,59.5,1,0,0,1,0,1
BEL,Belgium,2016 Summer,2016,475.931,11.311,19,74,1.405,25.0,178.0,68.5,1,0,2,17,2,21
BEN,Benin,2016 Summer,2016,11.818,10.872,4,6,1.0,28.5,179.0,84.5,1,0,0,0,0,0
BHU,Bhutan,2016 Summer,2016,2.025,0.722,2,2,1.0,25.0,164.0,55.0,1,0,0,0,0,0
BIH,Bosnia and Herzegovina,2016 Summer,2016,16.91,3.386,5,8,1.375,25.0,176.0,77.0,1,0,0,0,0,0
BIZ,Belize,2016 Summer,2016,1.773,0.378,2,3,1.0,28.0,180.0,86.0,1,0,0,0,0,0
BLR,Belarus,2016 Summer,2016,47.703,9.498,22,86,1.395,27.0,176.0,68.0,1,0,1,4,7,12
BOL,Bolivia,2016 Summer,2016,34.189,11.046,5,10,1.2,23.5,166.5,58.0,1,0,0,0,0,0
BOT,Botswana,2016 Summer,2016,15.658,2.16,2,5,1.6,22.5,181.5,70.0,1,0,0,0,0,0
BRA,Brazil,2016 Summer,2016,1796.62,205.157,34,222,2.077,26.0,175.0,70.0,1,1,36,8,6,50
BRN,Bahrain,2016 Summer,2016,32.235,1.424,4,19,1.474,23.0,170.5,60.0,1,0,1,1,0,2
BRU,Brunei,2016 Summer,2016,11.399,0.417,2,3,1.0,25.0,160.0,60.0,1,0,0,0,0,0
BUL,Bulgaria,2016 Summer,2016,53.802,7.102,14,51,1.0,25.0,171.0,68.0,1,0,0,1,6,7
BUR,Burkina Faso,2016 Summer,2016,12.819,18.646,3,5,1.0,22.0,177.0,78.0,1,0,0,0,0,0
CAF,Central African Republic,2016 Summer,2016,1.825,4.538,4,5,1.0,18.0,166.0,68.0,1,0,0,0,0,0
CAM,Cambodia,2016 Summer,2016,20.043,15.181,4,6,1.0,27.0,161.5,55.0,1,0,0,0,0,0
CAN,Canada,2016 Summer,2016,1528.0,36.052,31,174,1.77,25.0,173.0,67.0,1,0,4,4,61,69
CHA,Chad,2016 Summer,2016,10.202,14.562,1,2,1.0,23.5,173.0,51.5,1,0,0,0,0,0
CHI,Chile,2016 Summer,2016,250.326,18.167,16,36,1.167,27.0,171.0,62.0,1,0,0,0,0,0
CHN,China,2016 Summer,2016,11227.08,1382.71,32,209,1.866,24.0,175.0,66.0,1,0,46,30,37,113
CIV,Cote d'Ivoire,2016 Summer,2016,47.964,24.327,6,11,1.0,27.0,176.0,64.5,1,0,1,0,1,2
CMR,Cameroon,2016 Summer,2016,32.635,23.927,6,13,1.692,27.0,176.5,75.0,1,0,0,0,0,0
COD,Congo (Kinshasa),2016 Summer,2016,36.64,79.801,1,1,1.0,21.0,163.0,48.0,1,0,0,0,0,0
COL,Colombia,2016 Summer,2016,282.72,48.748,21,85,1.682,25.0,168.0,63.0,1,0,3,2,3,8
COM,Comoros,2016 Summer,2016,1.013,0.806,2,4,1.0,21.5,168.5,61.0,1,0,0,0,0,0
CPV,Cape Verde,2016 Summer,2016,1.663,0.54,3,4,1.0,22.0,174.0,64.0,1,0,0,0,0,0
CRC,Costa Rica,2016 Summer,2016,58.847,4.909,6,10,1.0,29.0,173.0,65.0,1,0,0,0,0,0
CRO,Croatia,2016 Summer,2016,51.601,4.174,18,47,1.809,27.0,186.0,85.0,1,0,7,15,2,24
CYP,Cyprus,2016 Summer,2016,20.947,0.848,6,19,0.789,24.0,172.0,63.0,1,0,0,0,0,0
CZE,Czech Republic,2016 Summer,2016,196.272,10.554,20,92,1.13,27.0,178.0,72.0,1,0,1,2,12,15
DEN,Denmark,2016 Summer,2016,313.116,5.707,16,67,1.776,26.0,182.0,73.0,1,0,15,10,16,41
DJI,Djibouti,2016 Summer,2016,2.619,0.993,3,7,1.0,21.0,177.5,61.5,1,0,0,0,0,0
DMA,Dominica,2016 Summer,2016,0.575,0.072,1,2,1.0,25.0,179.0,74.0,1,0,0,0,0,0
DOM,Dominican Republic,2016 Summer,2016,75.777,10.075,11,22,1.182,24.0,172.0,61.5,1,0,0,0,1,1
ECU,Ecuador,2016 Summer,2016,99.938,16.529,12,28,1.286,27.0,167.0,61.0,1,0,0,0,0,0
EGY,Egypt,2016 Summer,2016,332.484,91.0,23,84,1.405,24.0,175.0,75.0,1,0,0,0,3,3
ERI,Eritrea,2016 Summer,2016,2.213,3.377,2,5,1.2,28.0,172.5,57.0,1,0,0,0,0,0
ESA,El Salvador,2016 Summer,2016,24.191,6.356,5,6,1.0,23.5,163.0,61.5,1,0,0,0,0,0
ESP,Spain,2016 Summer,2016,1232.57,46.45,28,146,2.096,27.0,175.0,68.5,1,0,9,19,17,45
EST,Estonia,2016 Summer,2016,24.269,1.316,13,31,1.484,27.0,179.0,74.0,1,0,0,0,4,4
ETH,Ethiopia,2016 Summer,2016,72.12,91.196,3,16,2.25,24.0,168.0,53.0,1,0,1,2,5,8
FIJ,Fiji,2016 Summer,2016,4.93,0.877,8,10,4.7,25.0,175.0,77.0,1,0,13,0,0,13
FIN,Finland,2016 Summer,2016,240.705,5.487,16,54,0.981,25.0,173.0,64.5,1,0,0,0,1,1
FRA,France,2016 Summer,2016,2472.28,64.469,32,202,1.936,26.0,177.0,69.0,1,0,20,55,21,96
FSM,Federated States of Micronesia,2016 Summer,2016,0.332,0.104,3,5,1.0,24.0,153.0,65.0,1,0,0,0,0,0
GAB,Gabon,2016 Summer,2016,14.02,1.98,4,6,1.0,28.0,174.5,78.5,1,0,0,0,0,0
GBR,Great Britain,2016 Summer,2016,2703.24,65.648,26,195,1.81,26.0,176.0,70.0,1,0,63,55,25,143
GEO,Georgia,2016 Summer,2016,15.141,3.729,12,40,1.0,25.0,176.0,77.0,1,0,2,1,4,7
GEQ,Equatorial Guinea,2016 Summer,2016,11.241,1.221,1,1,1.0,27.0,170.0,63.0,1,0,0,0,0,0
GER,Germany,2016 Summer,2016,3468.9,82.349,29,217,1.922,26.0,178.0,70.0,1,0,49,43,67,159
GHA,Ghana,2016 Summer,2016,54.989,28.324,3,7,1.143,25.5,168.0,58.0,1,0,0,0,0,0
GRE,Greece,2016 Summer,2016,192.81,10.784,16,64,1.422,25.0,181.0,74.0,1,0,3,1,3,7
GRN,Grenada,2016 Summer,2016,1.062,0.11,2,3,1.333,23.5,180.0,70.5,1,0,0,1,0,1
GUA,Guatemala,2016 Summer,2016,66.034,16.582,10,19,1.105,22.0,171.0,60.0,1,0,0,0,0,0
GUI,Guinea,2016 Summer,2016,8.604,12.654,3,5,1.0,21.0,165.0,69.0,1,0,0,0,0,0
GUY,Guyana,2016 Summer,2016,4.483,0.773,2,7,0.857,20.0,163.0,62.0,1,0,0,0,0,0
HAI,Haiti,2016 Summer,2016,13.732,10.84,5,6,1.0,25.5,179.0,66.0,1,0,0,0,0,0
HKG,Hong Kong,2016 Summer,2016,320.84,7.377,9,32,1.156,23.0,170.0,65.0,1,0,0,0,0,0
HON,Honduras,2016 Summer,2016,21.714,9.273,7,8,2.875,22.0,180.0,76.0,1,0,0,0,0,0
HUN,Hungary,2016 Summer,2016,128.471,9.83,20,113,1.354,27.0,178.5,74.5,1,0,12,3,7,22
INA,Indonesia,2016 Summer,2016,932.066,258.497,7,20,1.4,25.0,168.0,68.0,1,0,2,2,0,4
IND,India,2016 Summer,2016,2294.12,1324.51,15,63,1.651,25.0,171.0,64.0,1,0,0,1,1,2
IRI,Iran,2016 Summer,2016,418.064,80.46,15,46,1.37,26.0,180.0,80.0,1,0,3,1,4,8
IRL,Ireland,2016 Summer,2016,299.145,4.771,14,57,1.333,28.0,175.0,65.0,1,0,0,3,0,3
IRQ,Iraq,2016 Summer,2016,167.716,36.169,5,5,4.0,22.0,179.0,75.0,1,0,0,0,0,0
ISL,Iceland,2016 Summer,2016,20.793,0.333,4,14,0.571,24.0,178.0,67.5,1,0,0,0,0,0
ISR,Israel,2016 Summer,2016,318.617,8.543,16,45,1.044,25.0,175.0,65.0,1,0,0,0,2,2
ITA,Italy,2016 Summer,2016,1876.55,60.666,26,171,1.807,27.0,177.0,69.0,1,0,8,40,24,72
JAM,Jamaica,2016 Summer,2016,14.108,2.722,4,32,1.688,25.0,175.0,66.0,1,0,10,16,2,28
JOR,Jordan,2016 Summer,2016,39.949,9.456,6,8,1.0,21.0,175.0,67.5,1,0,1,0,0,1
JPN,Japan,2016 Summer,2016,5003.68,126.96,32,186,1.801,25.0,170.0,62.0,1,0,17,13,34,64
KAZ,Kazakhstan,2016 Summer,2016,137.289,17.918,19,98,1.031,24.0,175.0,69.0,1,0,3,5,10,18
KEN,Kenya,2016 Summer,2016,69.19,44.3,7,28,2.607,26.0,168.0,60.5,1,0,6,6,0,12
KGZ,Kyrgyzstan,2016 Summer,2016,6.813,6.019,6,16,1.125,25.0,168.0,62.5,1,0,0,0,0,0
KIR,Kiribati,2016 Summer,2016,0.178,0.112,2,3,1.0,20.0,164.0,64.0,1,0,0,0,0,0
KOR,South Korea,2016 Summer,2016,1499.36,51.218,26,113,1.823,25.0,172.0,65.0,1,0,13,3,10,26
KOS,Kosovo,2016 Summer,2016,6.717,1.784,5,8,1.0,24.0,170.0,60.5,1,0,1,0,0,1
KSA,Saudi Arabia,2016 Summer,2016,644.936,31.788,5,10,1.0,25.0,172.0,69.0,1,0,0,0,0,0
LAO,Laos,2016 Summer,2016,15.905,6.846,3,4,1.0,18.0,169.5,59.0,1,0,0,0,0,0
LAT,Latvia,2016 Summer,2016,28.064,1.969,12,25,1.28,27.0,182.0,77.0,1,0,0,0,0,0
LBA,Libya,2016 Summer,2016,18.563,6.385,2,2,1.0,25.0,176.0,63.0,1,0,0,0,0,0
LCA,Saint Lucia,2016 Summer,2016,1.865,0.176,3,4,1.25,21.0,177.0,60.0,1,0,0,0,0,0
LES,Lesotho,2016 Summer,2016,2.219,2.007,1,3,0.667,27.0,177.0,69.0,1,0,0,0,0,0
LIB,Lebanon,2016 Summer,2016,51.205,6.714,7,8,1.0,27.0,170.0,62.5,1,0,0,0,0,0
LTU,Lithuania,2016 Summer,2016,43.035,2.868,15,49,1.367,26.5,185.5,84.0,1,0,0,2,5,7
LUX,Luxembourg,2016 Summer,2016,60.716,0.576,5,14,0.714,26.0,180.0,65.0,1,0,0,0,0,0
MAD,Madagascar,2016 Summer,2016,11.849,24.88,4,6,1.0,26.0,166.0,60.0,1,0,0,0,0,0
MAR,Morocco,2016 Summer,2016,103.312,34.487,13,39,1.231,26.0,173.0,62.0,1,0,0,0,1,1
MAS,Malaysia,2016 Summer,2016,301.255,31.634,10,29,1.103,23.0,170.0,67.5,1,0,0,7,1,8
MAW,Malawi,2016 Summer,2016,5.492,18.632,3,5,1.0,21.0,164.0,61.0,1,0,0,0,0,0
MDA,Moldova,2016 Summer,2016,8.072,2.824,9,22,1.045,26.0,178.0,80.0,1,0,0,0,0,0
MDV,Maldives,2016 Summer,2016,4.367,0.354,2,3,1.0,22.0,157.0,50.0,1,0,0,0,0,0
MEX,Mexico,2016 Summer,2016,1078.49,122.715,27,80,1.538,24.0,173.0,66.0,1,0,0,3,2,5
MGL,Mongolia,2016 Summer,2016,11.159,3.12,9,40,1.05,26.0,170.0,65.0,1,0,0,1,1,2
MHL,Marshall Islands,2016 Summer,2016,0.201,0.054,3,5,1.0,18.0,159.0,65.0,1,0,0,0,0,0
MKD,Macedonia,2016 Summer,2016,10.686,2.074,4,6,1.0,22.5,170.0,60.5,1,0,0,0,0,0
MLI,Mali,2016 Summer,2016,14.022,17.439,3,5,1.0,26.0,176.0,73.0,1,0,0,0,0,0
MLT,Malta,2016 Summer,2016,11.698,0.45,4,5,1.0,23.0,177.0,72.0,1,0,0,0,0,0
MNE,Montenegro,2016 Summer,2016,4.376,0.622,7,9,3.889,29.0,185.0,83.0,1,0,0,0,0,0
MOZ,Mozambique,2016 Summer,2016,11.937,28.751,4,7,0.857,22.0,172.0,66.0,1,0,0,0,0,0
MRI,Mauritius,2016 Summer,2016,12.232,1.264,6,10,1.0,24.0,174.5,64.0,1,0,0,0,0,0
MTN,Mauritania,2016 Summer,2016,6.414,3.794,1,2,1.0,27.5,170.5,63.5,1,0,0,0,0,0
MYA,Myanmar,2016 Summer,2016,60.09,51.633,5,7,0.857,29.0,170.0,57.0,1,0,0,0,0,0
NAM,Namibia,2016 Summer,2016,10.719,2.324,4,9,1.111,33.0,168.0,57.0,1,0,0,0,0,0
NCA,Nicaragua,2016 Summer,2016,13.286,6.328,4,5,1.0,19.0,175.0,59.0,1,0,0,0,0,0
NED,Netherlands,2016 Summer,2016,783.844,16.979,23,122,1.943,26.0,178.0,70.0,1,0,9,25,13,47
NEP,Nepal,2016 Summer,2016,24.524,27.261,5,7,1.0,20.0,163.0,63.0,1,0,0,0,0,0
NGR,Nigeria,2016 Summer,2016,404.649,185.96,9,34,1.971,26.0,173.0,73.0,1,0,0,0,17,17
NIG,Niger,2016 Summer,2016,10.35,20.789,4,6,1.0,20.0,178.0,72.5,1,0,0,1,0,1
NOR,Norway,2016 Summer,2016,368.827,5.252,11,39,1.231,26.0,178.0,69.0,1,0,0,0,19,19
NRU,Nauru,2016 Summer,2016,0.1,0.013,2,2,1.0,25.0,162.5,73.0,1,0,0,0,0,0
NZL,New Zealand,2016 Summer,2016,185.962,4.717,20,99,1.949,25.0,178.0,73.0,1,0,6,24,5,35
OMA,Oman,2016 Summer,2016,65.481,4.414,2,3,1.0,28.0,173.0,68.0,1,0,0,0,0,0
PAK,Pakistan,2016 Summer,2016,278.023,193.56,3,5,1.0,21.0,167.0,74.0,1,0,0,0,0,0
PAN,Panama,2016 Summer,2016,57.908,4.037,7,14,0.714,26.5,168.5,59.0,1,0,0,0,0,0
PAR,Paraguay,2016 Summer,2016,36.054,6.855,7,11,1.0,26.0,170.0,66.0,1,0,0,0,0,0
PER,Peru,2016 Summer,2016,194.95,31.489,11,28,1.036,24.5,165.5,60.0,1,0,0,0,0,0
PHI,Philippines,2016 Summer,2016,318.627,102.53,7,12,1.0,24.5,166.5,59.5,1,0,0,1,0,1
PLW,Palau,2016 Summer,2016,0.297,0.018,4,6,0.833,22.0,167.5,69.0,1,0,0,0,0,0
PNG,Papua New Guinea,2016 Summer,2016,20.759,8.085,6,8,1.0,27.0,168.5,62.0,1,0,0,0,0,0
POL,Poland,2016 Summer,2016,472.256,37.967,24,144,1.625,27.0,180.0,74.0,1,0,3,3,10,16
POR,Portugal,2016 Summer,2016,206.369,10.326,17,61,1.475,27.0,177.5,70.0,1,0,0,0,1,1
PUR,Puerto Rico,2016 Summer,2016,104.337,3.411,15,26,1.5,25.5,178.0,65.5,1,0,1,0,0,1
QAT,Qatar,2016 Summer,2016,151.732,2.618,10,20,1.85,25.5,183.5,83.5,1,0,0,1,0,1
ROU,Romania,2016 Summer,2016,188.13,19.761,15,62,1.532,27.0,175.0,64.0,1,0,4,2,10,16
RSA,South Africa,2016 Summer,2016,296.273,56.252,15,69,1.899,24.0,177.0,72.0,1,0,2,6,14,22
RUS,Russia,2016 Summer,2016,1280.65,146.804,29,180,1.561,25.0,176.0,68.5,1,0,52,28,35,115
RWA,Rwanda,2016 Summer,2016,8.734,11.5,2,2,1.0,31.0,162.5,59.0,1,0,0,0,0,0
SAM,Samoa,2016 Summer,2016,0.799,0.196,3,5,1.0,24.0,162.0,72.0,1,0,0,0,0,0
SEN,Senegal,2016 Summer,2016,19.035,14.994,8,11,2.0,29.5,179.0,75.0,1,0,0,0,0,0
SEY,Seychelles,2016 Summer,2016,1.426,0.094,6,10,1.0,23.0,174.5,66.5,1,0,0,0,0,0
SGP,Singapore,2016 Summer,2016,318.753,5.607,7,24,1.042,25.0,168.0,63.0,1,0,1,0,0,1
SLO,Slovenia,2016 Summer,2016,44.754,2.064,12,45,1.4,26.0,177.5,70.5,1,0,1,2,1,4
SMR,San Marino,2016 Summer,2016,1.468,0.033,2,3,1.333,33.0,169.5,69.0,1,0,0,0,0,0
SOL,Solomon Islands,2016 Summer,2016,1.381,0.601,1,1,1.0,33.0,165.0,58.0,1,0,0,0,0,0
SRB,Serbia,2016 Summer,2016,40.693,7.058,14,56,1.839,27.0,184.0,78.0,1,0,14,27,13,54
SRI,Sri Lanka,2016 Summer,2016,82.39,21.203,6,10,0.9,31.0,165.0,62.5,1,0,0,0,0,0
SSD,South Sudan,2016 Summer,2016,3.501,12.231,1,3,1.0,22.0,180.0,60.0,1,0,0,0,0,0
STP,Sao Tome and Principe,2016 Summer,2016,0.348,0.2,2,3,1.0,25.0,165.0,58.0,1,0,0,0,0,0
SUD,Sudan,2016 Summer,2016,64.883,39.599,3,6,1.0,21.5,176.0,68.5,1,0,0,0,0,0
SUI,Switzerland,2016 Summer,2016,695.457,8.327,17,80,1.275,24.0,172.0,64.5,1,0,6,3,2,11
SUR,Suriname,2016 Summer,2016,3.129,0.576,2,2,1.0,25.5,182.5,77.5,1,0,0,0,0,0
SVK,Slovakia,2016 Summer,2016,89.691,5.426,12,49,1.041,28.0,182.0,73.0,1,0,3,5,0,8
SWE,Sweden,2016 Summer,2016,515.655,9.995,22,79,1.899,26.0,179.0,72.0,1,0,2,23,3,28
SWZ,Swaziland,2016 Summer,2016,3.815,1.086,1,2,1.0,25.5,175.0,69.5,1,0,0,0,0,0
TAN,Tanzania,2016 Summer,2016,49.774,51.51,3,4,1.0,23.5,164.5,64.0,1,0,0,0,0,0
TGA,Tonga,2016 Summer,2016,0.421,0.101,4,7,1.0,21.0,176.0,74.0,1,0,0,0,0,0
THA,Thailand,2016 Summer,2016,413.497,68.971,15,45,1.2,24.5,169.0,61.0,1,0,2,2,2,6
TJK,Tajikistan,2016 Summer,2016,6.953,8.735,4,7,1.0,27.0,182.0,69.0,1,0,1,0,0,1
TKM,Turkmenistan,2016 Summer,2016,36.169,5.642,5,9,1.0,23.0,170.0,69.0,1,0,0,0,0,0
TLS,Timor Leste,2016 Summer,2016,1.651,1.219,1,1,1.0,29.0,165.0,58.0,1,0,0,0,0,0
TOG,Togo,2016 Summer,2016,6.03,7.51,1,1,1.0,17.0,158.0,53.0,1,0,0,0,0,0
TTO,Trinidad and Tobago,2016 Summer,2016,22.394,1.378,6,22,1.136,27.0,177.5,70.0,1,0,0,0,1,1
TUN,Tunisia,2016 Summer,2016,41.801,11.403,16,45,1.311,26.0,180.0,79.0,1,0,0,0,3,3
TUR,Turkey,2016 Summer,2016,869.28,79.815,21,88,1.136,25.0,176.0,68.0,1,0,1,3,4,8
TUV,Tuvalu,2016 Summer,2016,0.04,0.011,1,1,1.0,24.0,184.0,72.0,1,0,0,0,0,0
UAE,United Arab Emirates,2016 Summer,2016,357.045,9.856,6,10,1.1,27.0,174.0,73.0,1,0,0,0,1,1
UGA,Uganda,2016 Summer,2016,29.557,36.561,3,5,1.2,27.0,171.0,59.0,1,0,0,0,0,0
UKR,Ukraine,2016 Summer,2016,93.313,42.415,24,141,1.433,25.0,174.0,65.0,1,0,2,8,5,15
URU,Uruguay,2016 Summer,2016,57.237,3.48,8,14,1.214,30.0,180.0,69.0,1,0,0,0,0,0
USA,United States,2016 Summer,2016,18745.1,323.095,33,245,2.261,26.0,178.0,72.0,1,0,138,54,71,263
UZB,Uzbekistan,2016 Summer,2016,81.323,31.575,15,67,1.015,25.0,173.0,65.0,1,0,4,2,7,13
VAN,Vanuatu,2016 Summer,2016,0.775,0.272,3,3,1.0,24.0,173.0,66.0,1,0,0,0,0,0
VEN,Venezuela,2016 Summer,2016,279.249,30.714,19,76,1.105,27.0,176.0,72.0,1,0,0,1,2,3
VIE,Vietnam,2016 Summer,2016,252.149,92.695,10,24,0.917,24.0,166.5,58.0,1,0,1,1,0,2
YEM,Yemen,2016 Summer,2016,30.934,29.132,3,3,1.0,18.0,169.0,64.0,1,0,0,0,0,0
ZAM,Zambia,2016 Summer,2016,20.965,16.717,3,6,1.0,25.0,175.5,67.0,1,0,0,0,0,0
ZIM,Zimbabwe,2016 Summer,2016,20.054,14.228,7,13,2.308,27.0,165.0,60.0,1,0,0,0,0,0
