Games,NOC,Athletes,Sports,Events,Competitor Age (Avg),Competitor Height (Avg),Competitor Weight (Avg),M/F,Summer,Home_Field Adv,Year,Gold,Silver,Bronze,Medaled,Total Medals,Athletes per Event,% Medal Bronze
1976 Winter,GDR,59,8,28,22.525,175.254,70.949,1,0,0,1976,12,6,14,1,32,2.107,0.438
1976 Winter,GRE,1,1,3,23.0,175.0,72.0,1,0,0,1976,0,0,0,0,0,0.333,0.0
1976 Winter,HUN,2,1,1,21.0,175.0,61.5,1,0,0,1976,0,0,0,0,0,2.0,0.0
1976 Winter,IRI,1,1,3,23.0,167.0,72.0,1,0,0,1976,0,0,0,0,0,0.333,0.0
1976 Winter,ITA,28,8,25,24.786,174.286,71.393,1,0,0,1976,1,2,0,1,3,1.12,0.0
1976 Winter,JPN,58,10,29,25.138,168.879,67.224,1,0,0,1976,0,0,0,0,0,2.0,0.0
1976 Winter,KOR,2,1,8,16.5,169.5,69.0,1,0,0,1976,0,0,0,0,0,0.25,0.0
1976 Winter,LIE,5,2,8,18.8,174.8,70.6,1,0,0,1976,0,0,2,1,2,0.625,1.0
1976 Winter,NED,5,2,10,25.0,177.4,72.0,1,0,0,1976,1,2,3,1,6,0.5,0.5
1976 Winter,NOR,40,7,29,24.6,178.575,71.95,1,0,0,1976,3,6,1,1,10,1.379,0.1
1976 Winter,POL,56,9,25,23.786,171.893,70.268,1,0,0,1976,0,0,0,0,0,2.24,0.0
1976 Winter,ROU,19,4,7,25.211,176.263,77.895,1,0,0,1976,0,0,0,0,0,2.714,0.0
1976 Winter,SUI,54,9,22,24.519,175.407,71.241,1,0,1,1976,1,6,2,1,9,2.455,0.222
1976 Winter,SWE,39,7,27,24.462,175.59,71.128,1,0,0,1976,0,0,2,1,2,1.444,1.0
1976 Winter,TCH,52,9,26,24.904,176.115,75.865,1,0,0,1976,0,18,0,1,18,2.0,0.0
1976 Winter,TPE,3,3,4,24.667,174.667,69.0,1,0,0,1976,0,0,0,0,0,0.75,0.0
1976 Winter,TUR,3,2,5,24.333,163.333,64.667,1,0,0,1976,0,0,0,0,0,0.6,0.0
1976 Winter,URS,50,9,29,25.16,174.74,71.64,1,0,0,1976,31,4,10,1,45,1.724,0.222
1976 Winter,USA,75,10,36,22.347,174.2,70.267,1,0,0,1976,3,3,4,1,10,2.083,0.4
1976 Winter,YUG,14,2,3,24.643,176.786,77.643,1,0,0,1976,0,0,0,0,0,4.667,0.0
1980 Summer,AFG,11,2,11,23.636,168.364,63.182,1,1,0,1980,0,0,0,0,0,1.0,0.0
1980 Summer,ALG,48,9,27,23.562,176.062,70.438,1,1,0,1980,0,0,0,0,0,1.778,0.0
1980 Summer,AND,2,1,1,31.0,180.5,85.5,1,1,0,1980,0,0,0,0,0,2.0,0.0
1980 Summer,ANG,11,3,14,18.455,172.0,61.364,1,1,0,1980,0,0,0,0,0,0.786,0.0
1980 Summer,AUS,120,17,92,23.908,180.35,76.292,1,1,0,1980,6,2,5,1,13,1.304,0.385
1980 Summer,AUT,83,16,51,24.663,177.53,73.548,1,1,0,1980,1,3,1,1,5,1.627,0.2
1980 Summer,BEL,59,10,51,24.22,176.542,68.949,1,1,0,1980,1,0,0,1,1,1.157,0.0
1980 Summer,BEN,7,1,7,24.0,169.429,62.714,1,1,0,1980,0,0,0,0,0,1.0,0.0
1980 Summer,BOT,7,1,8,26.571,172.0,63.714,1,1,0,1980,0,0,0,0,0,0.875,0.0
1980 Summer,BRA,105,14,72,24.333,180.571,76.305,1,1,0,1980,4,0,5,1,9,1.458,0.556
1980 Summer,BUL,264,20,149,24.042,177.14,74.583,1,1,0,1980,8,43,38,1,89,1.772,0.427
1980 Summer,CGO,8,2,6,26.375,175.875,65.75,1,1,0,1980,0,0,0,0,0,1.333,0.0
1980 Summer,CMR,20,5,17,25.2,173.65,72.9,1,1,0,1980,0,0,0,0,0,1.176,0.0
1980 Summer,COL,23,3,7,24.261,174.565,71.348,1,1,0,1980,0,0,0,0,0,3.286,0.0
